iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred,gdp_per_capita
ZAF,Africa,South Africa,2019826.0,61332.0,34056.156,409.215,1034.115,5.109,,,12294.876
KOR,Asia,South Korea,159342.0,2025.0,3107.949,15.467,39.497,0.02,5271767.0,10.28,35938.374
SSD,Africa,South Sudan,10866.0,117.0,970.722,1.787,10.452,0.0,,,1569.888
ESP,Europe,Spain,3833868.0,80911.0,81999.482,268.7,1730.54,0.599,,,34272.36
LKA,Asia,Sri Lanka,262795.0,3157.0,12272.542,85.134,147.432,1.728,1146978.0,5.36,11669.077
SDN,Africa,Sudan,36658.0,2760.0,836.0,0.0,62.943,0.0,,,4466.507
SUR,South America,Suriname,22063.0,539.0,37609.481,216.489,918.801,13.637,36955.0,6.3,13767.119
SWE,Europe,Sweden,1090880.0,14631.0,108015.728,32.379,1448.719,0.099,3169215.0,31.38,46949.283
CHE,Europe,Switzerland,703334.0,10894.0,81266.903,18.256,1258.75,0.0,,,57410.166
SYR,Asia,Syria,25586.0,1882.0,1462.002,2.0,107.539,0.171,,,
TWN,Asia,Taiwan,14911.0,676.0,626.071,2.435,28.383,0.63,46193.0,0.19,
TJK,Asia,Tajikistan,13523.0,90.0,1417.856,0.0,9.436,0.0,,,2896.913
TZA,Africa,Tanzania,509.0,21.0,8.521,0.0,0.352,0.0,,,2683.304
THA,Asia,Thailand,270921.0,2141.0,3881.391,87.206,30.673,0.874,,,16277.671
TLS,Asia,Timor,9361.0,24.0,7100.047,62.953,18.203,0.0,,,6570.102
TGO,Africa,Togo,13999.0,130.0,1690.958,4.469,15.703,0.0,,,1429.813
TON,Oceania,Tonga,,,,,,,,,5425.621
TTO,North America,Trinidad and Tobago,33153.0,866.0,23689.327,88.604,618.796,6.431,102883.0,7.35,28763.071
TUN,Africa,Tunisia,432761.0,15179.0,36616.887,497.689,1284.33,9.646,,,10849.297
TUR,Asia,Turkey,5435831.0,49829.0,64452.112,57.992,590.818,0.652,15522900.0,18.41,25129.341
TKM,Asia,Turkmenistan,,,,,,,9753.0,0.16,16389.023
TCA,North America,Turks and Caicos Islands,,,,,,,15410.0,39.8,
TUV,Oceania,Tuvalu,,,,,,,,,3575.104
UGA,Africa,Uganda,82082.0,1111.0,1794.495,22.912,24.289,1.093,,,1697.707
UKR,Europe,Ukraine,2302344.0,54687.0,52644.549,25.678,1250.453,0.983,,,7894.393
ARE,Asia,United Arab Emirates,636245.0,1825.0,64329.552,168.143,184.522,0.607,,,67293.483
GBR,Europe,United Kingdom,4871807.0,128453.0,71764.527,395.707,1892.187,0.398,,,39753.244
USA,North America,United States,33709131.0,605524.0,101839.461,89.721,1829.363,1.526,156255896.0,46.72,54225.446
URY,South America,Uruguay,371417.0,5642.0,106921.759,235.194,1624.192,6.621,1748071.0,50.32,20551.409
UZB,Asia,Uzbekistan,111648.0,742.0,3335.843,14.79,22.17,0.06,,,6253.104
VUT,Oceania,Vanuatu,4.0,1.0,13.023,0.0,3.256,0.0,,,2921.909
VAT,Europe,Vatican,27.0,,33374.536,0.0,,,,,
VEN,South America,Venezuela,275205.0,3154.0,9678.068,41.532,110.916,0.633,,,16745.022
VNM,Asia,Vietnam,18121.0,84.0,186.165,4.048,0.863,0.031,214405.0,0.22,6171.884
WLF,Oceania,Wallis and Futuna,,,,,,,4368.0,38.84,
YEM,Asia,Yemen,6924.0,1361.0,232.147,0.034,45.631,0.0,,,1479.147
ZMB,Africa,Zambia,160613.0,2341.0,8736.585,151.273,127.339,3.808,16661.0,0.09,3689.251
ZWE,Africa,Zimbabwe,52663.0,1841.0,3543.246,97.02,123.865,2.22,,,1899.775
